"","RNAplate","RNAwell","Sample","RNA_ID","uLextracted","uLeluted","DateExtracted","PCRplate"
"99","1","G11","NP-Inf-6-10-20-A","NP-Inf-6/10/20-A_1",600,60,"43997","12"
"100","1","A12","NP-Inf-6-11-20-A","NP-Inf-6/11/20-A_1",600,60,"43997","12"
"101","1","H11","NP-Inf-6-12-20-A","NP-Inf-6/12/20-A_1",600,60,"43997","12"
"123","2","B2","COR-Inf-5-25-20-A","COR-Inf-5-25-20-A_2",400,50,"44004","1"
"124","2","A2","COR-Inf-6-1-20-A","COR-Inf-6-1-20-A_2",400,50,"44004","1"
"131","2","A1","EB-6-22-20","EB-6/22/20_2",400,50,"44004","1"
"163","2","B5","NP-10thSt-6-18-20-A","NP-10thSt-6/18/20-A_2",400,50,"44004","1, 5, 7, 11"
"164","2","F6","NP-26thSt-6-19-20-A","NP-26thSt-6/19/20-A_2",400,50,"44004","1"
"165","2","C6","NP-32ndSt-6-17-20-A","NP-32ndSt-6/17/20-A_2",400,50,"44004","1, 3, 5, 7, 11"
"166","2","D7","NP-42ndSt-6-19-20-A","NP-42ndSt-6/19/20-A_2",400,50,"44004","1, 5, 7"
"167","2","E7","NP-48thSt-6-19-20-A","NP-48thSt-6/19/20-A_2",400,50,"44004","1, 3"
"168","2","F7","NP-56thSt-6-19-20-A","NP-56thSt-6/19/20-A_2",400,50,"44004","1, 3"
"169","2","F5","NP-68thSt-6-19-20-A","NP-68thSt-6/19/20-A_2",400,50,"44004","1, 5, 7, 11"
"170","2","E6","NP-70thSt-6-19-20-A","NP-70thSt-6/19/20-A_2",400,50,"44004","1"
"171","2","H6","NP-Bayfront-6-19-20-A","NP-Bayfront-6/19/20-A_2",400,50,"44004","1"
"172","2","A8","NP-BigCreek-6-19-20-A","NP-BigCreek-6/19/20-A_2",400,50,"44004","1, 3"
"173","2","B6","NP-Embarcadero-6-18-20-A","NP-Embarcadero-6/18/20-A_2",400,50,"44004","1, 5, 7, 11"
"174","2","H5","NP-Hatfield-6-18-20-A","NP-Hatfield-6/18/20-A_2",400,50,"44004","1, 3, 5, 7, 11"
"175","2","C5","NP-Inf-6-17-20-A","NP-Inf-6/17/20-A_2",400,50,"44004","1"
"176","2","D5","NP-Inf-6-18-20-A","NP-Inf-6/18/20-A_2",400,50,"44004","1"
"177","2","G7","NP-Inf-6-19-20-A","NP-Inf-6/19/20-A_2",400,50,"44004","1"
"178","2","B8","NP-MinnieSt-6-18-20-A","NP-MinnieSt-6/18/20-A_2",400,50,"44004","1"
"179","2","G6","NP-Neff-6-19-20-A","NP-Neff-6/19/20-A_2",400,50,"44004","1, 5"
"180","2","E5","NP-NeolhaPoint-6-18-20-A","NP-NeolhaPoint-6/18/20-A_2",400,50,"44004","1, 5, 7, 11"
"181","2","A5","NP-Northside-6-18-20-A","NP-Northside-6/18/20-A_2",400,50,"44004","1"
"182","2","C7","NP-NWSpringSt-6-19-20-A","NP-NWSpringSt-6/19/20-A_2",400,50,"44004","1"
"183","2","B7","NP-NyeBeach-6-18-20-A","NP-NyeBeach-6/18/20-A_2",400,50,"44004","1"
"184","2","A7","NP-NyeBeach-6-19-20-A","NP-NyeBeach-6/19/20-A_2",400,50,"44004","1"
"185","2","D6","NP-ParkSt-6-19-20-A","NP-ParkSt-6/19/20-A_2",400,50,"44004","1"
"186","2","A6","NP-RunningSprings-6-18-20-A","NP-RunningSprings-6/18/20-A_2",400,50,"44004","1, 5, 7, 11"
"187","2","H7","NP-San-Bay-O-6-18-20-A","NP-San-Bay-O-6/18/20-A_2",400,50,"44004","1"
"188","2","G5","NP-Southshore-6-18-20-A","NP-Southshore-6/18/20-A_2",400,50,"44004","1, 5, 7, 11"
"217","3","B1","BD-Blank-5-29-20-B","BD-Blank-5-29-20-B_3",400,50,"44007","2"
"218","3","C1","BD-Blank-5-30-20-B","BD-Blank-5-30-20-B_3",400,50,"44007","2"
"219","3","D1","BD-Blank-5-31-20-B","BD-Blank-5-31-20-B_3",400,50,"44007","2"
"225","3","B2","BD-Inf-5-26-20-B","BD-Inf-5-26-20-B_3",400,50,"44007","2"
"226","3","C2","BD-Inf-5-27-20-B","BD-Inf-5-27-20-B_3",400,50,"44007","2"
