"","Sample","Target","CopiesPeruL","DyeNames","PoissonConfMax","PoissonConfMin","Accepted.Droplets","Positives","Negatives","Site","Date","Location"
"9","NP-Northside-6-18-20-A","RP",0.85135817527771,"HEX",1.59456527233124,0.38537609577179,11059,8,11051,"NP-Northside",06/18/20,"Newport"
"13","NP-RunningSprings-6-18-20-A","N1",0,"FAM",0.382558763027191,0,9215,0,9215,"NP-RunningSprings",06/18/20,"Newport"
"14","NP-RunningSprings-6-18-20-A","N2",0,"FAM/HEX",0.382558763027191,0,9215,0,9215,"NP-RunningSprings",06/18/20,"Newport"
"15","NP-RunningSprings-6-18-20-A","RP",1.78872621059418,"HEX",2.90499114990234,1.00365161895752,9215,14,9201,"NP-RunningSprings",06/18/20,"Newport"
"21","NP-NyeBeach-6-19-20-A","RP",2.99822759628296,"HEX",4.28236055374146,2.00130200386047,10608,27,10581,"NP-NyeBeach",06/19/20,"Newport"
"43","NP-10thSt-6-18-20-A","N1",0,"FAM",0.371275633573532,0,9495,0,9495,"NP-10thSt",06/18/20,"Newport"
"44","NP-10thSt-6-18-20-A","N2",0,"FAM/HEX",0.371275633573532,0,9495,0,9495,"NP-10thSt",06/18/20,"Newport"
"45","NP-10thSt-6-18-20-A","RP",0.495721280574799,"HEX",1.16912138462067,0.149561896920204,9495,4,9491,"NP-10thSt",06/18/20,"Newport"
"49","NP-Embarcadero-6-18-20-A","N1",0.217986032366753,"FAM",0.698351800441742,0.0330222882330418,10795,2,10793,"NP-Embarcadero",06/18/20,"Newport"
"50","NP-Embarcadero-6-18-20-A","N2",0,"FAM/HEX",0.326558113098145,0,10795,0,10795,"NP-Embarcadero",06/18/20,"Newport"
"51","NP-Embarcadero-6-18-20-A","RP",1.52675104141235,"HEX",2.47935652732849,0.856699585914612,10795,14,10781,"NP-Embarcadero",06/18/20,"Newport"
"57","NP-NyeBeach-6-18-20-A","RP",0.902980446815491,"HEX",1.69128441810608,0.408738553524017,10427,8,10419,"NP-NyeBeach",06/18/20,"Newport"
"81","NP-Inf-6-17-20-A","RP",0.966564953327179,"HEX",1.75157046318054,0.460845023393631,10959,9,10950,"NP-Inf",06/17/20,"Newport"
"85","NP-32ndSt-6-17-20-A","N1",0.237838998436928,"FAM",0.761968016624451,0.0360295176506042,9894,2,9892,"NP-32ndSt",06/17/20,"Newport"
"86","NP-32ndSt-6-17-20-A","N2",0.237838998436928,"FAM/HEX",0.761968016624451,0.0360295176506042,9894,2,9892,"NP-32ndSt",06/17/20,"Newport"
"87","NP-32ndSt-6-17-20-A","RP",1.07065427303314,"HEX",1.94026672840118,0.510461568832397,9894,9,9885,"NP-32ndSt",06/17/20,"Newport"
"91","NP-NWSpringSt-6-19-20-A","N1",0.114237077534199,"FAM",0.545696318149567,0.00479773432016373,10299,1,10298,"NP-NWSpringSt",06/19/20,"Newport"
"92","NP-NWSpringSt-6-19-20-A","N2",0,"FAM/HEX",0.342287480831146,0,10299,0,10299,"NP-NWSpringSt",06/19/20,"Newport"
"93","NP-NWSpringSt-6-19-20-A","RP",1.25721836090088,"HEX",2.16221809387207,0.649014115333557,10299,11,10288,"NP-NWSpringSt",06/19/20,"Newport"
"117","NP-Inf-6-18-20-A","RP",0.981046199798584,"HEX",1.72856390476227,0.488360673189163,11997,10,11987,"NP-Inf",06/18/20,"Newport"
"123","NP-ParkSt-6-19-20-A","RP",1.80209970474243,"HEX",2.88227915763855,1.03322660923004,9800,15,9785,"NP-ParkSt",06/19/20,"Newport"
"127","NP-42ndSt-6-19-20-A","N1",0.106318794190884,"FAM",0.507865190505981,0.00446519581601024,11066,1,11065,"NP-42ndSt",06/19/20,"Newport"
"128","NP-42ndSt-6-19-20-A","N2",0.212647184729576,"FAM/HEX",0.681244611740112,0.0322135798633099,11066,2,11064,"NP-42ndSt",06/19/20,"Newport"
"129","NP-42ndSt-6-19-20-A","RP",2.66085648536682,"HEX",3.85082149505615,1.74612033367157,11066,25,11041,"NP-42ndSt",06/19/20,"Newport"
"151","NP-NeolhaPoint-6-18-20-A","N1",0,"FAM",0.281694740056992,0,12514,0,12514,"NP-NeolhaPoint",06/18/20,"Newport"
"152","NP-NeolhaPoint-6-18-20-A","N2",0,"FAM/HEX",0.281694740056992,0,12514,0,12514,"NP-NeolhaPoint",06/18/20,"Newport"
"153","NP-NeolhaPoint-6-18-20-A","RP",3.01224827766418,"HEX",4.1852502822876,2.08252358436584,12514,32,12482,"NP-NeolhaPoint",06/18/20,"Newport"
"157","NP-70thSt-6-19-20-A","N1",0,"FAM",0.308305740356445,0,11434,0,11434,"NP-70thSt",06/19/20,"Newport"
"158","NP-70thSt-6-19-20-A","N2",0,"FAM/HEX",0.308305740356445,0,11434,0,11434,"NP-70thSt",06/19/20,"Newport"
"159","NP-70thSt-6-19-20-A","RP",2.78137731552124,"HEX",3.97247719764709,1.85661244392395,11434,27,11407,"NP-70thSt",06/19/20,"Newport"
"163","NP-48thSt-6-19-20-A","N1",0,"FAM",0.313404619693756,0,11248,0,11248,"NP-48thSt",06/19/20,"Newport"
"165","NP-48thSt-6-19-20-A","RP",3.03713583946228,"HEX",4.286940574646,2.05821704864502,11248,29,11219,"NP-48thSt",06/19/20,"Newport"
"187","NP-68thSt-6-19-20-A","N1",0,"FAM",0.226472556591034,0,15565,0,15565,"NP-68thSt",06/19/20,"Newport"
"189","NP-68thSt-6-19-20-A","RP",1.36130583286285,"HEX",2.09509778022766,0.823023557662964,15565,18,15547,"NP-68thSt",06/19/20,"Newport"
"193","NP-26thSt-6-19-20-A","N1",0.11805434525013,"FAM",0.56393438577652,0.00495804380625486,9966,1,9965,"NP-26thSt",06/19/20,"Newport"
"194","NP-26thSt-6-19-20-A","N2",0,"FAM/HEX",0.353726238012314,0,9966,0,9966,"NP-26thSt",06/19/20,"Newport"
"195","NP-26thSt-6-19-20-A","RP",1.89029252529144,"HEX",2.98166489601135,1.10497975349426,9966,16,9950,"NP-26thSt",06/19/20,"Newport"
"199","NP-56thSt-6-19-20-A","N1",0.101986959576607,"FAM",0.487169474363327,0.00428327452391386,11536,1,11535,"NP-56thSt",06/19/20,"Newport"
"200","NP-56thSt-6-19-20-A","N2",0.101986959576607,"FAM/HEX",0.487169474363327,0.00428327452391386,11536,1,11535,"NP-56thSt",06/19/20,"Newport"
"201","NP-56thSt-6-19-20-A","RP",0.816143393516541,"HEX",1.52858901023865,0.369438737630844,11536,8,11528,"NP-56thSt",06/19/20,"Newport"
"223","NP-Southshore-6-18-20-A","N1",0,"FAM",0.327529191970825,0,10763,0,10763,"NP-Southshore",06/18/20,"Newport"
"224","NP-Southshore-6-18-20-A","N2",0.218634188175201,"FAM/HEX",0.70042872428894,0.0331204682588577,10763,2,10761,"NP-Southshore",06/18/20,"Newport"
"225","NP-Southshore-6-18-20-A","RP",1.64074766635895,"HEX",2.62410449981689,0.940743565559387,10763,15,10748,"NP-Southshore",06/18/20,"Newport"
"229","NP-Neff-6-19-20-A","N1",0,"FAM",0.286922991275787,0,12286,0,12286,"NP-Neff",06/19/20,"Newport"
"230","NP-Neff-6-19-20-A","N2",0.0957609042525291,"FAM/HEX",0.457424372434616,0.00402180105447769,12286,1,12285,"NP-Neff",06/19/20,"Newport"
"231","NP-Neff-6-19-20-A","RP",2.10854244232178,"HEX",3.12208294868469,1.34280049800873,12286,22,12264,"NP-Neff",06/19/20,"Newport"
"237","NP-Inf-6-19-20-A","RP",1.5158451795578,"HEX",2.50394463539124,0.83009135723114,10096,13,10083,"NP-Inf",06/19/20,"Newport"
"243","NP-BigCreek-6-19-20-A","RP",3.76142644882202,"HEX",4.99008369445801,2.75380945205688,13784,44,13740,"NP-BigCreek",06/19/20,"Newport"
