"","ID","Location","Sample Date","Volume.filtered.mL"
"1640","COR-Inf-9-7-20-A","Corvallis",2020-09-07,30
"1682","COR-Inf-8-31-20-A","Corvallis",2020-08-31,30
"1684","NP-Inf-8-27-20-A","Newport",2020-08-27,35
"1692","NP-Inf-8-26-20-A","Newport",2020-08-26,35
"1696","COR-Inf-8-24-20-A","Corvallis",2020-08-24,35
"1722","NP-Inf-8-20-20-A","Newport",2020-08-20,35
"1726","BD-Inf-8-19-20-A","Bend",2020-08-19,30
"1738","NP-Inf-8-19-20-A","Newport",2020-08-19,40
"1768","BD-Inf-8-17-20-A","Bend",2020-08-17,30
"1770","COR-Inf-8-17-20-A","Corvallis",2020-08-17,30
"1780","BD-Inf-8-14-20-A","Bend",2020-08-14,40
"1802","BD-Inf-8-12-20-A","Bend",2020-08-12,40
"1816","NP-Inf-8-12-20-A","Newport",2020-08-12,40
"1838","BD-Inf-8-10-20-A","Bend",2020-08-10,40
"1840","COR-Inf-8-10-20-A","Corvallis",2020-08-10,30
"1846","NP-Inf-8-7-20-A","Newport",2020-08-07,35
"1872","NP-Inf-8-6-20-A","Newport",2020-08-06,35
"1876","BD-Inf-8-5-20-A","Bend",2020-08-05,30
"1888","NP-Inf-8-5-20-A","Newport",2020-08-05,35
"1916","BD-Inf-8-3-20-A","Bend",2020-08-03,30
"1918","COR-Inf-8-3-20-A","Corvallis",2020-08-03,35
"1924","BD-Inf-7-31-20-A","Bend",2020-07-31,30
"1948","NP-Inf-7-30-20-A","Newport",2020-07-30,35
"1950","BD-Inf-7-29-20-A","Bend",2020-07-29,30
"2003","NP-Inf-7-29-20-A","Newport",2020-07-29,35
"2027","BD-Inf-7-27-20-A","Bend",2020-07-27,30
"2029","COR-Inf-7-27-20-A","Corvallis",2020-07-27,40
"2035","NP-Inf-7-24-20-A","Newport",2020-07-24,40
"2039","BD-Inf-7-23-20-A","Bend",2020-07-23,30
"2051","Hermiston-Inf-7-23-20-A","Hermiston",2020-07-23,30
"2079","NP-Inf-7-23-20-A","Newport",2020-07-23,35
"2097","Hermiston-Inf-7-22-20-A","Hermiston",2020-07-22,40
"2107","NP-Inf-7-22-20-A","Newport",2020-07-22,35
"2119","BD-Inf-7-21-20-A","Bend",2020-07-21,35
"2156","Hermiston-Inf-7-21-20-A","Hermiston",2020-07-21,40
"2172","COR-Inf-7-20-20-A","Corvallis",2020-07-20,40
"2174","Hermiston-Inf-7-20-20-A","Hermiston",2020-07-20,35
"2176","Hermiston-Inf-7-19-20-A","Hermiston",2020-07-19,35
"2182","NP-Inf-7-17-20-A","Newport",2020-07-17,35
"2188","BD-Inf-7-16-20-A","Bend",2020-07-16,30
"2210","NP-Inf-7-16-20-A","Newport",2020-07-16,40
"2216","NP-Inf-7-15-20-A","Newport",2020-07-15,40
"2246","COR-Inf-7-13-20-A","Corvallis",2020-07-13,40
"2252","Hermiston-Inf-7-10-20-A","Hermiston",2020-07-10,30
"2254","NP-Inf-7-10-20-A","Newport",2020-07-10,30
"2255","NP-Inf-7-10-20-B","Newport",2020-07-10,30
"2262","Hermiston-Inf-7-9-20-A","Hermiston",2020-07-09,30
"2284","NP-26thSt-7-9-20-A","Newport",2020-07-09,30
"2286","NP-32ndSt-7-9-20-A","Newport",2020-07-09,30
"2287","NP-32ndSt-7-9-20-B","Newport",2020-07-09,30
"2288","NP-48thSt-7-9-20-A","Newport",2020-07-09,30
"2289","NP-48thSt-7-9-20-B","Newport",2020-07-09,30
"2290","NP-Bayfront-7-9-20-A","Newport",2020-07-09,30
"2291","NP-Bayfront-7-9-20-B","Newport",2020-07-09,30
"2292","NP-BigCreek-7-9-20-A","Newport",2020-07-09,30
"2294","NP-Hatfield-7-9-20-A","Newport",2020-07-09,30
"2296","NP-Inf-7-9-20-A","Newport",2020-07-09,30
"2297","NP-Inf-7-9-20-B","Newport",2020-07-09,30
"2298","NP-Neff-7-9-20-A","Newport",2020-07-09,30
"2300","NP-NeolhaPoint-7-9-20-A","Newport",2020-07-09,30
"2302","NP-Northside-7-9-20-A","Newport",2020-07-09,30
"2303","NP-Northside-7-9-20-B","Newport",2020-07-09,30
"2304","NP-NyeBeach-7-9-20-A","Newport",2020-07-09,30
"2306","NP-ParkSt-7-9-20-A","Newport",2020-07-09,30
"2308","NP-RunningSprings-7-9-20-A","Newport",2020-07-09,30
"2310","NP-San-Bay-O-7-9-20-A","Newport",2020-07-09,30
"2311","NP-San-Bay-O-7-9-20-E","Newport",2020-07-09,30
"2313","NP-Southshore-7-9-20-A","Newport",2020-07-09,30
"2325","Hermiston-Inf-7-8-20-A","Hermiston",2020-07-08,30
"2327","NP-10thSt-7-8-20-A","Newport",2020-07-08,30
"2329","NP-42ndSt-7-8-20-A","Newport",2020-07-08,30
"2330","NP-42ndSt-7-8-20-B","Newport",2020-07-08,30
"2331","NP-48thSt-7-8-20-A","Newport",2020-07-08,30
"2333","NP-56thSt-7-8-20-A","Newport",2020-07-08,30
"2335","NP-68thSt-7-8-20-A","Newport",2020-07-08,30
"2337","NP-70thSt-7-8-20-A","Newport",2020-07-08,30
"2339","NP-Bayfront-7-8-20-A","Newport",2020-07-08,30
"2340","NP-Bayfront-7-8-20-E","Newport",2020-07-08,30
"2342","NP-BigCreek-7-8-20-A","Newport",2020-07-08,30
"2344","NP-Embarcadero-7-8-20-A","Newport",2020-07-08,30
"2346","NP-Inf-7-8-20-A","Newport",2020-07-08,30
"2347","NP-Inf-7-8-20-B","Newport",2020-07-08,30
"2348","NP-MinnieSt-7-8-20-A","Newport",2020-07-08,30
"2350","NP-Northside-7-8-20-A","Newport",2020-07-08,30
"2351","NP-Northside-7-8-20-B","Newport",2020-07-08,30
"2352","NP-NWSpringSt-7-8-20-A","Newport",2020-07-08,30
"2354","NP-NyeBeach-7-8-20-A","Newport",2020-07-08,30
"2355","NP-NyeBeach-7-8-20-B","Newport",2020-07-08,30
"2356","NP-ParkSt-7-8-20-A","Newport",2020-07-08,30
"2358","NP-San-Bay-O-7-8-20-A","Newport",2020-07-08,30
"2359","NP-San-Bay-O-7-8-20-E","Newport",2020-07-08,30
"2395","NP-Hatfield-FieldBlank-7-8-20-A","Newport",2020-07-07,30
"2397","NP-Northside-FieldBlank-7-7-20-A","Newport",2020-07-07,30
"2399","NP-NyeBeach-FieldBlank-7-7-20-A","Newport",2020-07-07,30
"2403","NP-San-Bay-O-FieldBlank-7-7-20-A","Newport",2020-07-07,30
"2405","NP-Southshore-FieldBlank-7-8-20-A","Newport",2020-07-07,30
"2411","COR-Inf-7-6-20-A","Corvallis",2020-07-06,50
"2439","NP-Inf-7-2-20-A","Newport",2020-07-02,30
"2453","NP-Inf-7-1-20-A","Newport",2020-07-01,30
"2454","NP-Inf-7-1-20-B","Newport",2020-07-01,30
"2487","COR-Inf-6-29-20-A","Corvallis",2020-06-29,50
"2493","NP-Inf-6-26-20-A","Newport",2020-06-26,30
"2494","NP-Inf-6-26-20-B","Newport",2020-06-26,30
"2519","NP-Inf-6-25-20-A","Newport",2020-06-25,30
"2521","NP-Inf-6-24-20-A","Newport",2020-06-24,30
"2522","NP-Inf-6-24-20-B","Newport",2020-06-24,30
"2553","COR-Inf-6-22-20-A","Corvallis",2020-06-22,50
"2576","NP-26thSt-6-19-20-A","Newport",2020-06-19,30
"2580","NP-42ndSt-6-19-20-A","Newport",2020-06-19,30
"2584","NP-48thSt-6-19-20-A","Newport",2020-06-19,30
"2585","NP-48thSt-6-19-20-E","Newport",2020-06-19,30
"2589","NP-56thSt-6-19-20-A","Newport",2020-06-19,30
"2590","NP-56thSt-6-19-20-E","Newport",2020-06-19,30
"2592","NP-68thSt-6-19-20-A","Newport",2020-06-19,30
"2593","NP-68thSt-6-19-20-B","Newport",2020-06-19,30
"2594","NP-70thSt-6-19-20-A","Newport",2020-06-19,30
"2598","NP-Bayfront-6-19-20-A","Newport",2020-06-19,30
"2599","NP-Bayfront-6-19-20-B","Newport",2020-06-19,30
"2600","NP-BigCreek-6-19-20-A","Newport",2020-06-19,30
"2601","NP-BigCreek-6-19-20-B","Newport",2020-06-19,30
"2602","NP-Inf-6-19-20-A","Newport",2020-06-19,30
"2603","NP-Inf-6-19-20-B","Newport",2020-06-19,30
"2606","NP-Neff-6-19-20-E","Newport",2020-06-19,30
"2607","NP-Neff-6-19-20-A","Newport",2020-06-19,30
"2611","NP-NWSpringSt-6-19-20-A","Newport",2020-06-19,30
"2615","NP-NyeBeach-6-19-20-A","Newport",2020-06-19,30
"2616","NP-NyeBeach-6-19-20-B","Newport",2020-06-19,30
"2619","NP-ParkSt-6-19-20-A","Newport",2020-06-19,30
"2620","NP-ParkSt-6-19-20-E","Newport",2020-06-19,30
"2696","NP-10thSt-6-18-20-A","Newport",2020-06-18,30
"2697","NP-10thSt-6-18-20-B","Newport",2020-06-18,30
"2700","NP-Embarcadero-6-18-20-A","Newport",2020-06-18,30
"2701","NP-Embarcadero-6-18-20-B","Newport",2020-06-18,30
